rank,player,team,sofascore_rating,primary_position
1,Alexandra Popp,Germany Women's,8.27,Center Attacking Midfield
2,Teresa Abelleira Dueñas,Spain Women's,8.13,Center Defensive Midfield
3,Ariadina Alves Borges,Brazil Women's,8.03,Right Midfield
4,Daniela Solera Vega,Costa Rica Women's,8.0,Goalkeeper
5,Hinata Miyazawa,Japan Women's,7.98,Right Attacking Midfield
6,Lindsey Michelle Horan,United States Women's,7.9,Left Center Midfield
7,Solène Durand,France Women's,7.9,Goalkeeper
8,Jill Roord,Netherlands Women's,7.84,Right Center Midfield
9,Jennifer Hermoso Fuentes,Spain Women's,7.81,Left Center Midfield
10,Eugénie Le Sommer,France Women's,7.8,Left Center Forward
11,Selma Bacha,France Women's,7.8,Left Midfield
12,Luana Bühler,Switzerland Women's,7.8,Right Center Back
13,Kerly Théus,Haiti Women's,7.77,Goalkeeper
14,Lena Oberdorf,Germany Women's,7.75,Right Defensive Midfield
15,Alex Greenwood,England Women's,7.74,Left Center Back
16,Wendie Renard,France Women's,7.73,Right Center Back
17,Rebecca Leigh Spencer,Jamaica Women's,7.73,Goalkeeper
18,Lauren James,England Women's,7.7,Left Wing
19,Anna Langås Jøsendal,Norway Women's,7.7,Right Midfield
20,Kim Thanh Trần Thị,Vietnam Women's,7.7,Goalkeeper
21,Amanda Ilestedt,Sweden Women's,7.69,Right Center Back
22,Sophia Olivia Smith,United States Women's,7.68,Left Wing
23,Chiamaka Cynthia Nnadozie,Nigeria Women's,7.68,Goalkeeper
24,Aitana Bonmati Conca,Spain Women's,7.67,Right Center Midfield
25,Sophie Roman Haug,Norway Women's,7.67,Center Forward
26,Kadidiatou Diani,France Women's,7.66,Center Forward
27,Danielle van de Donk,Netherlands Women's,7.63,Left Center Midfield
28,Thembi Kgatlana,South Africa Women's,7.6,Center Forward
29,Esmee Brugts,Netherlands Women's,7.6,Left Wing Back
30,Jun Endo,Japan Women's,7.6,Left Wing Back
31,Stephanie van der Gragt,Netherlands Women's,7.58,Center Back
32,Dominique Johanna Anna Petrone Janssen,Netherlands Women's,7.58,Left Center Back
33,Barbra Banda,Zambia Women's,7.57,Center Forward
34,Francisca Ramos Ribeiro Nazareth Sousa,Portugal Women's,7.57,Center Attacking Midfield
35,Kerolin Nicoli Israel Ferraz,Brazil Women's,7.57,Right Defensive Midfield
36,Elisa De Almeida,France Women's,7.57,Left Center Back
37,Andi Sullivan,United States Women's,7.53,Center Defensive Midfield
38,Lieke Martens,Netherlands Women's,7.52,Left Center Forward
39,Olga  Carmona García,Spain Women's,7.52,Left Back
40,Ana Rita Silva Seiça,Portugal Women's,7.5,Left Center Back
41,Inês Teixeira Pereira,Portugal Women's,7.5,Goalkeeper
42,Eunice Sakala,Zambia Women's,7.5,Goalkeeper
43,Katie Bowen,New Zealand Women's,7.5,Left Center Back
44,Catherine Joan Bott,New Zealand Women's,7.47,Right Back
45,Ona Batlle Pascual,Spain Women's,7.46,Right Back
46,Mina Tanaka,Japan Women's,7.4,Center Forward
47,Aoba Fujino,Japan Women's,7.4,Right Attacking Midfield
48,Débora Cristiane de Oliveira,Brazil Women's,7.4,Left Center Forward
49,Manuela Vanegas Cataño,Colombia Women's,7.4,Left Back
50,Sophie Schmidt,Canada Women's,7.4,Left Defensive Midfield
