player_id,player,team,average_z_score,matches_played,primary_position,simplified_position,detailed_position,position_frequency,matches_with_position_data,num_positions_played,all_positions,is_versatile
25554.0,Khadija Monifa Shaw,Jamaica Women's,2.9657468154049305,3,Center Forward,Forward,Forward,8/8,3,1,Center Forward,False
131619.0,Barbra Banda,Zambia Women's,2.8142398365918453,3,Center Forward,Forward,Forward,4/4,3,1,Center Forward,False
401879.0,Thị Thảo Thái,Vietnam Women's,2.6014734927793897,2,Left Defensive Midfield,Midfielder,Defensive Midfielder,2/3,2,2,"Left Defensive Midfield, Right Defensive Midfield",True
225115.0,Katrina Jacqueline Rivera Guillou,Philippines Women's,2.508920844145772,3,Left Midfield,Midfielder,Central Midfielder,3/6,3,3,"Left Center Forward, Left Midfield, Right Center Forward",True
361339.0,Marta Alexandra Cox Villarreal,Panama Women's,2.234781226931928,3,Center Forward,Forward,Forward,2/6,3,4,"Center Forward, Right Center Midfield, Center Attacking Midfield, Left Wing",True
10108.0,Pernille Mosegaard Harder,Denmark Women's,2.2229147760137926,4,Center Attacking Midfield,Midfielder,Attacking Midfielder,3/6,4,3,"Center Attacking Midfield, Center Forward, Left Center Midfield",True
401885.0,Thị Thanh Nhã Nguyễn,Vietnam Women's,2.1948745556508147,2,Left Wing,Forward,Winger,3/5,2,3,"Left Wing, Center Forward, Right Wing",True
5052.0,Thembi Kgatlana,South Africa Women's,2.115524880795764,4,Center Forward,Forward,Forward,4/5,4,2,"Center Forward, Left Center Forward",True
5085.0,Alexandra Morgan Carrasco,United States Women's,1.9627154373041509,4,Center Forward,Forward,Forward,5/5,4,1,Center Forward,False
30970.0,Nérilia Mondesir,Haiti Women's,1.9536500055642056,3,Left Wing,Forward,Winger,3/6,3,3,"Center Forward, Left Wing, Left Center Midfield",True
26156.0,Rasheedat Busayo Ajibade,Nigeria Women's,1.9271185793907757,3,Right Wing,Forward,Winger,3/7,3,3,"Right Wing, Left Wing, Right Wing Back",True
32854.0,Racheal Kundananji,Zambia Women's,1.8472777426781115,3,Left Midfield,Midfielder,Central Midfielder,3/6,3,3,"Left Midfield, Right Midfield, Left Wing",True
402666.0,Fatima Zahra Tagnaout,Morocco Women's,1.8178054245018511,4,Left Midfield,Midfielder,Central Midfielder,4/4,4,1,Left Midfield,False
4944.0,Estefanía Romina Banini Ruiz,Argentina Women's,1.7857230674253424,3,Center Attacking Midfield,Midfielder,Attacking Midfielder,3/6,3,4,"Center Attacking Midfield, Left Wing, Left Center Midfield, Left Midfield",True
142735.0,Melchie Daëlle Dumornay,Haiti Women's,1.756064114293394,3,Center Attacking Midfield,Midfielder,Attacking Midfielder,5/7,3,3,"Center Attacking Midfield, Right Wing, Right Defensive Midfield",True
4647.0,So-Yun Ji,Korea Republic Women's,1.6744539732586183,3,Left Defensive Midfield,Midfielder,Defensive Midfielder,3/10,3,5,"Left Center Midfield, Left Defensive Midfield, Center Defensive Midfield, Right Defensive Midfield, Center Attacking Midfield",True
402025.0,Linyan Zhang,China PR Women's,1.633819312646817,3,Left Midfield,Midfielder,Central Midfielder,3/7,3,5,"Left Wing, Left Midfield, Center Forward, Right Midfield, Left Center Forward",True
401723.0,Deborah Ajibola Abiodun,Nigeria Women's,1.56739897323535,1,Left Center Midfield,Midfielder,Central Midfielder,1/1,1,1,Left Center Midfield,False
386339.0,Linda Lizeth Caicedo Alegría,Colombia Women's,1.4923444489044646,5,Left Wing,Forward,Winger,7/11,5,3,"Right Wing, Left Wing, Left Wing Back",True
53188.0,Mayra Tatiana Ramírez Ramírez,Colombia Women's,1.480588011572141,5,Center Forward,Forward,Forward,7/13,5,5,"Center Forward, Right Wing, Right Wing Back, Left Midfield, Left Wing",True
142768.0,Kyra Carusa,Republic of Ireland Women's,1.4540835613490437,3,Center Forward,Forward,Forward,3/3,3,1,Center Forward,False
402663.0,Ghizlane Chebbak,Morocco Women's,1.434104163535749,4,Left Defensive Midfield,Midfielder,Defensive Midfielder,4/5,4,2,"Left Defensive Midfield, Center Attacking Midfield",True
25658.0,Hannah Wilkinson,New Zealand Women's,1.429310124870845,3,Center Forward,Forward,Forward,2/3,3,2,"Center Forward, Left Center Forward",True
10408.0,Ana-Maria Crnogorčević,Switzerland Women's,1.3987636463847115,4,Center Forward,Forward,Forward,3/6,4,4,"Left Wing, Right Center Midfield, Center Forward, Left Center Forward",True
392266.0,Jacqueline Anne Hand,New Zealand Women's,1.3841728446879398,3,Right Wing,Forward,Winger,4/8,3,4,"Left Wing, Right Wing, Center Forward, Right Center Forward",True
10649.0,Lieke Martens,Netherlands Women's,1.3668408252661546,5,Left Center Forward,Forward,Forward,6/13,5,7,"Left Center Forward, Center Attacking Midfield, Left Wing Back, Left Midfield, Right Center Forward, Left Attacking Midfield, Left Center Midfield",True
32215.0,Leicy Maria Santos Herrera,Colombia Women's,1.341940701442702,5,Center Attacking Midfield,Midfielder,Attacking Midfielder,6/14,5,6,"Left Wing, Center Attacking Midfield, Left Attacking Midfield, Right Wing, Right Midfield, Center Forward",True
10656.0,Lineth Beerensteyn,Netherlands Women's,1.3293456210792287,3,Right Center Forward,Forward,Forward,4/9,3,3,"Right Center Forward, Left Wing, Center Forward",True
401889.0,Như Huỳnh,Vietnam Women's,1.317413972195627,3,Center Forward,Forward,Forward,4/5,3,2,"Center Forward, Left Wing",True
402126.0,Hildah Tholakele Magaia,South Africa Women's,1.3098545790798384,4,Right Wing,Forward,Winger,5/10,4,3,"Left Wing, Right Wing, Left Midfield",True
5084.0,Denise O'Sullivan,Republic of Ireland Women's,1.2810825130732495,3,Right Defensive Midfield,Midfielder,Defensive Midfielder,3/4,3,2,"Right Wing, Right Defensive Midfield",True
4999.0,Lindsey Michelle Horan,United States Women's,1.244212361564871,4,Left Center Midfield,Midfielder,Central Midfielder,4/5,4,2,"Left Center Midfield, Center Attacking Midfield",True
34478.0,María Paula Salas,Costa Rica Women's,1.2417839412913343,3,Center Forward,Forward,Forward,3/5,3,2,"Center Attacking Midfield, Center Forward",True
25662.0,Catherine Joan Bott,New Zealand Women's,1.2398955674502945,3,Right Back,Defender,Fullback/Wing-Back,3/4,3,2,"Right Back, Right Wing Back",True
225182.0,Anna Sandberg,Sweden Women's,1.2302361889402929,1,Left Back,Defender,Fullback/Wing-Back,1/1,1,1,Left Back,False
30854.0,Vanessa Brigitte Gilles,Canada Women's,1.2285828584012437,3,Left Center Back,Defender,Fullback/Wing-Back,3/5,3,3,"Left Center Back, Left Center Forward, Right Center Back",True
