player_id,player,team,average_z_score,matches_played
25554.0,Khadija Monifa Shaw,Jamaica Women's,2.9657468154049305,3
131619.0,Barbra Banda,Zambia Women's,2.8142398365918453,3
401879.0,Thị Thảo Thái,Vietnam Women's,2.6014734927793897,2
225115.0,Katrina Jacqueline Rivera Guillou,Philippines Women's,2.5089208441457718,3
361339.0,Marta Alexandra Cox Villarreal,Panama Women's,2.234781226931928,3
10108.0,Pernille Mosegaard Harder,Denmark Women's,2.2229147760137926,4
401885.0,Thị Thanh Nhã Nguyễn,Vietnam Women's,2.1948745556508147,2
5052.0,Thembi Kgatlana,South Africa Women's,2.115524880795764,4
5085.0,Alexandra Morgan Carrasco,United States Women's,1.9627154373041507,4
30970.0,Nérilia Mondesir,Haiti Women's,1.9536500055642056,3
26156.0,Rasheedat Busayo Ajibade,Nigeria Women's,1.9271185793907757,3
32854.0,Racheal Kundananji,Zambia Women's,1.8472777426781117,3
402666.0,Fatima Zahra Tagnaout,Morocco Women's,1.8178054245018511,4
4944.0,Estefanía Romina Banini Ruiz,Argentina Women's,1.7857230674253424,3
142735.0,Melchie Daëlle Dumornay,Haiti Women's,1.756064114293394,3
4647.0,So-Yun Ji,Korea Republic Women's,1.6744539732586183,3
402025.0,Linyan Zhang,China PR Women's,1.633819312646817,3
401723.0,Deborah Ajibola Abiodun,Nigeria Women's,1.56739897323535,1
386339.0,Linda Lizeth Caicedo Alegría,Colombia Women's,1.4923444489044646,5
53188.0,Mayra Tatiana Ramírez Ramírez,Colombia Women's,1.480588011572141,5
142768.0,Kyra Carusa,Republic of Ireland Women's,1.4540835613490437,3
402663.0,Ghizlane Chebbak,Morocco Women's,1.434104163535749,4
25658.0,Hannah Wilkinson,New Zealand Women's,1.429310124870845,3
10408.0,Ana-Maria Crnogorčević,Switzerland Women's,1.3987636463847117,4
392266.0,Jacqueline Anne Hand,New Zealand Women's,1.3841728446879398,3
10649.0,Lieke Martens,Netherlands Women's,1.3668408252661546,5
32215.0,Leicy Maria Santos Herrera,Colombia Women's,1.341940701442702,5
10656.0,Lineth Beerensteyn,Netherlands Women's,1.3293456210792287,3
401889.0,Như Huỳnh,Vietnam Women's,1.317413972195627,3
402126.0,Hildah Tholakele Magaia,South Africa Women's,1.3098545790798384,4
5084.0,Denise O'Sullivan,Republic of Ireland Women's,1.2810825130732497,3
4999.0,Lindsey Michelle Horan,United States Women's,1.244212361564871,4
34478.0,María Paula Salas,Costa Rica Women's,1.2417839412913343,3
25662.0,Catherine Joan Bott,New Zealand Women's,1.2398955674502943,3
225182.0,Anna Sandberg,Sweden Women's,1.2302361889402929,1
30854.0,Vanessa Brigitte Gilles,Canada Women's,1.2285828584012435,3
